"JuhtumId","ToimKpv","ToimKell","ToimNadalapaev","ToimLoppKpv","ToimLoppKell","SyndmusLiik","SyndmusTaiendavStatLiik","SissetungimiseLiik","Valve","Seadus","Paragrahv","ParagrahvTais","Loige","Punkt","RikutudOigusnorm","Kahjusumma","KohtLiik","MaakondNimetus","ValdLinnNimetus","KohtNimetus","Lest_X_1","Lest_X_2","Lest_Y_1","Lest_Y_2","SoidukLiik","SoidukMark","SoidukVlAasta","SyyteoLiik","L-EST","Coord_X","Coord_Y"
"619c89fa-1beb-18d7-a4d9-b5dccafb9b0e","2019-08-02","19:00","Reede     ","2019-08-02","20:00","VARGUS","MUU_VARGUS","VABA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 1.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","737000","737499","","",NA,"KT","6589249.5,737249.5",59.37475781,28.17595009
"619c8dc4-1beb-18d7-a4d9-b5dccafb9b0e","2019-08-02","01:00","Reede     ","2019-08-03","03:00","VARGUS","MUU_VARGUS","LEITUD_VOTMEGA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","737000","737499","","",NA,"KT","6589249.5,737249.5",59.37475781,28.17595009
"e18ae246-1732-18d7-a4d9-b5dccafb9b0e","2019-07-31","02:00","Kolmapäev","","","VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6588000","6588499","737000","737499","","",NA,"VT","6588249.5,737249.5",59.36579873,28.17485599
"c0ebc2d2-13fc-18d7-a4d9-b5dccafb9b0e","2019-07-25","15:00","Neljapäev","","","PISIVARGUS","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 199 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","736500","736999","","",NA,"VT","6589249.5,736749.5",59.37503676,28.16717198
"c0ebc002-13fc-18d7-a4d9-b5dccafb9b0e","2019-07-24","23:25","Kolmapäev","","","VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","737500","737999","","",NA,"VT","6589249.5,737749.5",59.37447828,28.18472805
"c0ebb74c-13fc-18d7-a4d9-b5dccafb9b0e","2019-07-21","18:00","Pühapäev","","","PISIVARGUS","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 199 lg. 1","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590000","6590499","737500","737999","","",NA,"VT","6590249.5,737749.5",59.38343725,28.18582501
"c0ebb8be-13fc-18d7-a4d9-b5dccafb9b0e","2019-07-21","13:30","Pühapäev","","","VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6589000","6589499","737500","737999","","",NA,"VT","6589249.5,737749.5",59.37447828,28.18472805
"619c8568-1beb-18d7-a4d9-b5dccafb9b0e","2019-07-15","08:00","Esmaspäev","","","VANDALISM","","","","Karistusseadustik","§ 218.","§ 218. Varavastane süütegu väheväärtusliku asja ja varalise õiguse vastu","lg. 1.",NA,"KarS § 203 lg. 1","","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590000","6590499","737000","737499","","",NA,"VT","6590249.5,737249.5",59.38371686,28.17704476
"c0ebb1de-13fc-18d7-a4d9-b5dccafb9b0e","2019-07-06","","Laupäev  ","","","VARGUS","MUU_VARGUS","VABA","ILMA_VALVETA","Karistusseadustik","§ 201.","§ 201. Omastamine","lg. 2.",NA,"","0-499","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590000","6590499","737000","737499","","",NA,"KT","6590249.5,737249.5",59.38371686,28.17704476
"16f46512-05de-18d7-848e-e2a32f181fb3","2019-07-05","18:00","Reede     ","2019-07-06","00:30","VARGUS","MUU_VARGUS","VABA","ILMA_VALVETA","Karistusseadustik","§ 199.","§ 199. Vargus","lg. 2.",NA,"","500-4999","KORTER","Ida-Viru maakond","Narva linn","Narva linn","6590000","6590499","736500","736999","","",NA,"KT","6590249.5,736749.5",59.38399587,28.16826436
